2k0	2000
gis	Google Image Search
gim	google instant messanger
giyf	google is your friend
gir	google it retard
g2gpc	got 2 go parents coming
glln	Got Laid Last Night
gmv	Got my vote
gokid	got observers - keep it decent
gotta	got to
g2bg	got to be going
g2e	got to eat
g/g	got to go
g2g	got to go
gtg	got to go
g2gb2wn	got to go back to work now
g2gb	got to go bye
gtgbb	got to go bye bye
g2ge	got to go eat
g2g4aw	got to go for a while
gtgfn	got to go for now
gtgmmiloms	got to go my mum is looking over my shoulder
g2gn	got to go now
gtgn	got to go now
g2gp	got to go pee
gtgp	got to go pee
g2gpp	got to go pee pee
gtgpp	got to go pee pee
g2gs	got to go sorry
gtgtpirio	got to go the price is right is on
gtgtb	got to go to bed
g2g2tb	got to go to the bathroom
g2g2w	got to go to work
gtgtwn	Got to go to work now
g2p	got to pee
gtp	Got to pee
gtr	Got to run
g2t2s	got to talk to someone
ggpaw	gotta go parents are watching
ggp	gotta go pee
gpb	gotta pee bad
gta	Grand Theft Auto
gdilf	Grandad I'd Like To Fuck
gma	grandma
gilf	Grandma I'd like to fuck
gmilf	grandmother i'd like to fuck
gaw	grandparents are watching
gui	graphical data interface
gfx	graphics
grfx	graphics
gr8	great
gr8t	great
gmta	great minds think alike
nade	grenade
*g*	grin
gfe2e	grinning from ear to ear
grvy	groovy
gded	grounded
gfl	grounded for life
glf	group looking for
gtfu	grow the fuck up
gthu	grow the heck up
gu	grow up
grmbl	grumble
gwijd	guess what i just did
gitar	guitar
gnr	Guns n' roses
hhok	Ha Ha Only Kidding
hax0red	hacked
h4x0r	hacker
h4xor	hacker
h4xr	hacker
h4xx0rz	hacker
h4xxor	hacker
ha>	hacker
hax0r	hacker
haxer	Hacker
haxor	hacker
haxxor	hacker
haxxzor	Hacker
haxz0r	Hacker
haxzor	hacker
xor	hacker
h4kz0r5	hackers
h4xrz	hackers
hax0rz	Hackers
haxors	hackers
haxorz	hackers
haxoring	hacking
h4x	Hacks
hax	Hacks
heh	haha
hl	Half-Life
hl2	Half-Life 2
h2	Halo 2
hammrd	hammered
hj	hand job
hoas	Hang on a second
crakalakin	happening
hppy	Happy
hpy	happy
hbd	happy birthday
hpybdy	happy birthday
hxc	hardcore
h8	hate
h8t	hate
h8te	hate
hait	hate
heyt	hate
hml	hate my life
h82sit	hate to say it
h8ed	hated
h80r	hater
h83r	hater
h8er	hater
h8r	hater
h8t0r	hater
h8t3r	hater
h8tr	hater
htr	hater
h8s	hates
h8red	Hatred
hav	have
hv	have
hve	have
hagd	have a good day
hagn	have a good night
hago	have a good one
hagl	have a great life
hags	have a great summer
hakas	have a kick ass summer
hf	have fun
hfwt	have fun with that
hswm	Have Sex With me
hafta	have to
h2gtb	have to go to the bathroom
havnt	haven't
hvnt	haven't
hcbt1	he could be the one
hlm	he loves me
hwmbo	he who must be obeyed
hwmnbn	he who must not be named
hbic	head bitch in charge
hmfic	head mother fucker in charge
hnic	head nigger in charge
hoh	head of household
hud	Heads Up Display
hs	headshot
ht	Heard Through
hght	height
hiet	height
4311	hell
7734	hell
hll	Hell
hfn	Hell fucking no
hiik	Hell If I Know
hy	hell yeah
7734	hello
ello	hello
elo	hello
hai	hello
heyy	hello
heyya	hello
hi2u	hello
hlo	hello
howdey	hello
hiya	hello 
re/rehi	hello again
rehi	hello again
hi2u2	hello to you too
ehlp	help
hlp	help
hdop	Help Delete Online Predators
hw/hw	help me with homework 
ere	here
hre	here
hwg	here we go
hwga	here we go again
hyg	here you go
hak	here's a kiss
ey	hey
h3y	hey
heya	hey
hwu	hey what's up
hu	Hey you
^5	high five
hpb	high ping bastard
hsd	high school dropout
hmu	Hit Me Up
hmul	Hit me up later
htc	hit the cell
hg	HockeyGod
304	hoe
hb4b	hoes before bros
hld	hold
hmb	hold me back
h.o	hold on
h/o	hold on
hldn	hold on
hldon	hold on
ho	hold on
h/u	hold up
hly	holy
hfsbm	holy fucking shit batman
hfs	holy fucking shit!
hhiadb	Holy Hole in a Donut Batman
hhiad	holy hole in a doughnut
hmoj	holy mother of jesus
hlysht	Holy shit
hom	home
h*r	homestar runner
hsr	homestar runner
h/w	homework
hmewrk	homework
hmw	homework
hmwk	homework
hmwrk	Homework
hw	homework
hwk	homework
h/mo	homo
homo	homosexual
hun	honey
hth	hope that helps
h2sys	hope to see you soon
hrny	horny
hlb	horny little bastard
hng	horny net geek
hss	horse shit and splinters
hawt	hot
hott	hot
hla	Hot lesbian action
hpoa	Hot Piece of Ass
hwms	hot wild monkey sex
hawtie	hottie
hr	hour
hrs	hours
han	how about now
habt	how about this
hbu	how about you
hby	how about you
hau	How Are You
hru	how are you
hayd	how are you doing
hrud	how are you doing
hbii	how big is it
hcihy	how can I help you
hcib	how can it be
hc	how come
hdu	how dare you
hdydt	how did you do that
hdydi	How do you do it
hhyb	how have you been
hith	how in the hell
hwz	how is
hoay	how old are you
hsik	how should i know
htf	how the fuck
hwik	how would i know
hyb	how you been
hyk	how you know
h/e	However
howz	hows
huggle	hug and cuddle
hugz	hugs
h&k	hugs and kisses
h+k	hugs and kisses
xox	hugs and kisses
xoxo	hugs and kisses
hngry	hungry
hb	hurry back
htfu	Hurry the fuck up
hubby	husband
hawf	Husband and Wife forever
h9	Husband in Room
hiw	husband is watching
http	hyper text transfer protocol
iawtc	I agree with this comment
iawtp	I agree with this post
iawy	I agree with you
3y3 y4m	I am
ima	I am a
imb	I am back
iab	I Am Bored
iafi	I am from India
iafh	I Am Fucking Hot
imh	I am here
iah	i am horny
iai	i am interested
ianabs	I am not a brain surgeon
ianacl	I am not a copyright lawyer
ianal	I am not a lawyer
ianars	I am not a rocket scientist
ians	I am Not Sure
inttwmf	I am Not Typing This With My Fingers
ianyl	I am not your lawyer
iap	I Am Pissed
iasb	i am so bored
imsb	i am so bored
imsry	I am sorry
iaspfm	i am sorry please forgive me
iatb	I am the best
im26c4u	I am too sexy for you
iavb	i am very bored
iym	I am your man
icgup	I can give you pleasure
icsrg	I can still reach Google
icb	I can't believe
icbi	i can't believe it
icbt	i can't believe that
icbu	I can't believe you
icbyst	i cant believe you said that
icr	I can't rememer
ictrn	I can't talk right now
icty	i can't tell you 
icw	I care why?
iccl	I could care less
iddi	I didn't do it
idkymb2	I didn't know yoru mom blogs too
idno	i do not know
idonno	i do not know
idunno	i do not know
idbtwdsat	I don't believe they would do such a thing
idby	I Don't Believe You
idc	I don't care
idec	I don't even care
idek	I don't even know
idfc	i don't fucking care
idfk	i don't fucking know
idfts	I don't fucking think so
idgi	I don't get it
idgac	i don't give a crap
idgad	I don't give a damn
idgaff	I don't give a flying fuck
idgaf	i don't give a fuck
idgafs	I don't give a fucking shit
idgara	I don't give a rat's ass
idgas	i don't give a shit
dernoe	I don't know
dunna	i don't know
dunno	I don't know
idk	I don't know
idn	i don't know
idnk	i don't know
ionno	I don't know
iono	I don't know
iunno	I don't know
idkbibt	I don't know but I've Been Told
idke	I don't know ethier
idkh	I don't know how
idkh2s	i don't know how to spell
idkt	I don't know that
idkwiwdwu	I don't know what I would do without you
idkwts	I don't know what to say
idkwurta	I don't know what you are talking about.
idkwym	I don't know what you mean
idkw	I don't know why
idkyb	i don't know why but
idky	I don't know you
idl	I don't like
idli	I don't like it
idlu	i don't like you
idly	I don't like you
idlyitw	i don't like you in that way
idm	I don't mind
bah	I don't really care
idrc	i don't really care
idrfk	I don't really fucking know
idrgaf	I don't really give a fuck
idrk	i don't really know
idrts	I don't really think so
idr	I don't remember
idsw	i don't see why
idtis	I don't think I should
idtkso	i don't think so
idts	i don't think so
iduwym	I don't understand what you mean.
idwk	I don't wanna know
idw2	I don't want to
idwt	i don't want to
idwtg	I don't want to go
idw2n	i don't want to know
iuno	i dunno
invu	I envy you
ifthtb	i find that hard to belive
ifwis	I forgot what I said
ifhu	I fucking hate you
ifhy	i fucking hate you
iflu	i fucking love you
ig5oi	I got 5 on it 
igt	I Got This
ig2g	I got to go
igtgt	I got to go tinkle
igyb	I Got Your Back
igg	i gotta go
ig	I guess
igs	I guess so
ih8	i hate
ihiwydt	I hate it when you do that
ihml	I hate my life
ih8mls	I hate my little sister 
ihmp	i hate my parents
ih8p	I hate parents
ihtfp	I hate this fucking place
ihtsm	i hate this so much
h8u	I Hate You
i8u	i hate you
iateu	i hate you
ih8tu	i hate you
ih8u	I hate you
ih8y	I hate you
ihat3u	I hate you
ihu	I hate you
ihy	i hate you
ihya	i hate you all
ihusb	i hate you so bad 
ihusfm	i hate you so fucking much
ih8usm	i hate you so much
ihusm	i hate you so much
ihysm	I hate you so much
ihysmrn	i hate you so much right now
ihurg	i hate your guts
ive	i have
ihac	I have a customer
ihnc	i have no clue
ihnfc	I have no fucking clue
ihni	i have no idea
ih2gp	I have to go pee
ihtp	I Have To Poop
ihtutbr	I have to use the bathroom
iht	I heard that
ihistr	i hope i spelled that right
ijcomk	i just came on my keyboard
ijdl	I just died laughing
ijdk	I just don't know
ijeomk	I just ejaculated on my keybord
ijf	i just farted
ijgl	I just got laid
ijpmp	I just peed my pants
ijpms	I just pissed myself
ijr	i just remembered
ijsabomomcibstg	I just saved a bunch of money on my car insurance by switching to geico
ikt	i knew that
ik	i know
ino	I know
iki	i know it
ikm	I know man
ikr	I know really
ikwym	i know what you mean
ikwum	I know what you meant
ikwyl	I know where you live
ilshipmp	I laughed so hard I peed my pants
iyq	I like you
ilyal	I like you a lot
ilhsm	i love him/her so much
ili	i love it
ilms	I love my self
iltf	i love to fuck
143	I love you
i <3 u	I love you
i<3 u	i love you
i<3u	I love you
ilu	I love you
iluvu	i love you
iluvya	i love you
ilvu	i love you
ily	i love you
iluaaf	i love you as a friend
ilyaas	I Love You As A Sister
ilybby	i love you baby
ilyb	i love you bitch
ilybtid	I Love You But Then I Don't
ily4e	i love you forever
ily4ev	i love you forever
ilygsm	i love you guys so much
ilykthnxbai	i love you k thanks bye
ilylabf	I love you like a best friend
ilylab	I love you like a brother
ilylafklc	i love you like a fat kid loves cake
ilulafklc	I love you like a fat kid loves cake.
ilylas	i love you like a sister
lylas	I love you like a sister
ilylc	i love you like crazy
ilyl	i love you loads
ilum	i love you more
ilym	i love you more
ilymtyk	i love you more than you know
ilymtylm	i love you more than you love me
ilusfm	I love you so fucking much
ilysfm	i love you so fucking much
ilysfmb	i love you so fucking much baby
ilusm	I love you So much
ilysm	i love you so much
ilysmih	i love you so much it hurts
ilysmm	i love you so much more
ilysmydek	I Love You So Much You Don't Even Know
ilysvm	i love you so very much
ilu2	I love you too
ily2	i love you too
iluvm	I Love You Very Much
ilyvm	i love you very much
iluwamh	i love you with all my heart
ilywamh	I love you with all my heart
imts	I meant to say
imy	I miss you
imu	i miss you 
imya	i miss you already
imysfm	i miss you so fucking much
imusm	I miss you so much
imy2	i miss you to
inh	I need help
inhwh	I need homework help
ind2p	I need to pee
intpftpotm	I nominate this post for the post of the month
iou	i owe you
irdc	I really don't care
irdgaf	i really don't give a fuck
irdk	I really don't know
irhy	i really hate you
irhtgttbr	I really have to go to the bathroom
irly	I really love you
i c	i see
ic	I see
icwudt	I see what you did there
iswydt	i see what you did there
icwum	I see what you mean
icu	i see you
icup	i see you pee
icic	I See. I See
istr	I seem to remember
isfly	i so fucking love you
isg	I speak geek
istwfn	I stole this word from noslang.com
isianmtu	I swear I am not making this up
is2g	i swear to god
itn	I think not
ityltk	I thought you'd like to know
ita	I Totally Agree
iwfusb	i wanna fuck you so bad
iws	i want sex
iwsn	i want sex now
iw2f	i want to fuck
iw2fu	i want to fuck you
iwfy	I want to fuck you
iwtfu	i want to fuck you
iwtfy	i want to fuck you
iwhswu	I want to have sex with you
iwthswy	i want to have sex with you
iwtly	i want to love you
iw2mu	I want to meet you
iwu	i want you
iwy	i want you
iwyn	I want you now
iwythmb	i want you to have my baby
iwyb	I want your body
iwjk	i was just kidding
iwbrbl@r	I will be right back later
iwfybo	i will fuck your brains out
iwlu4e	I will love you for ever
iwmu	i will miss you
iwmy	i will miss you
iwsul8r	I will see you later
iwuwh	i wish you were here 
iwhi	I would hit it
ilk2fku	I would like to fuck you
iwk	I wouldn't know
ioya	I'd Own Your Ass
eedyat	idiot
eejit	idiot
id10t	idiot
idjit	idiot
idot	idiot
idyat	idiot
ijit	idiot
ibcd	Idiot between chair & desk
iff	if and only if
iirc	if I recall correctly
iiuc	if I understand correctly
iistgtbtipi	If It Sounds Too Good To Be True It Probably Is
ioyk	if only you knew
iyam	if you ask me
iucmd	if you catch my drift
iydmma	if you don't mind me asking
iygm	if you get me
iukwim	if you know what i mean
iykwim	if you know what I mean
iyss	if you say so
iyswim	if you see what I mean
iywt	if you want to
iyflg	If You're Feeling Less Generous
ilbcnu	i'll be seeing you
ibt	I'll be there
ibw	I'll be waiting
ih2p	i'll have to pass
ilyf	I'll Love You Forever
irtf	I'll return the favor
ilcul8r	I'll see you later
tok2ul8r	i'll talk to you later
gamez	illegally obtained games
warez	illegally obtained software
ib	I'm back
imma	I'm going to
igtkya	im going to kick your ass
igkymfa	I'm gonna kick your mother fucking ass
imnl	I'm not laughing
ioh	I'm out of here
isb	I'm so bored.
iss	im so sorry
isbya	im sorry but you asked
iotd	image of the day
nayl	in a while
iaw	In Another Window
inb4	in before
ibtl	In Before The Lock
icudk	in case you didn't know
icydn	in case you didn't know
icymi	in case you missed it
icydk	in csae you didn't know
imao	in my arrogant opinion
imcdo	in my conceited dogmatic opinion
imfao	In My Fucking Arrogant Opinion
imfo	in my fucking opinion
inho	in my honest opinion
imhbco	In my humble but correct opinion
imhe	in my humble experience
imho	in my humble opinion
imnerho	In my not even remotely humble opinion
imnshmfo	In My Not So Humble Mother Fucking Opinion
imnsho	in my not so humble opinion
imo	in my opinion
imoo	in my own opinion
impo	In My Personal Opinion
impov	in my point of view
imvho	in my very humble opinion
iow	in other words
irl	in real life
irt	in reply to
iso	In Search Of
itc	in that case
itb	in the butt
itd	in the dark
itk	in the know
itt	in this thread
iwc	In Which Case
iyd	In Your Dreams
iyf	In your face
iyo	in your opinion
incrse	increase
indie	independent
ndn	indian
iois	Indicators of Interest
ij	indide joke
nub	inexperienced person
imwtk	Inquiring minds want to know
icp	insane clown posse
isj	inside joke
instagib	instant kill
instakill	instant kill
im	Instant Message
imm	instant message me
im'd	instant messaged
imed	instant messaged
intel	intelligence
ise	internal server error
inet	internet
intarwebs	internet
interweb	internet
ibs	Internet Bitch Slap 
ietf	internet engineering task force
ijp	Internet job posting
ip	internet protocol
irc	internet relay chat
isp	internet service provider
isd	internet slang dictionary
in2	into
n2	into
iz	is
tis	is
iiok	is it okay
iiw2	is it web 2.0?
enit	isn't it
init	isn't it
innit	isn't it
iebkac	issue exists between keyboard and chair
idop	it depends on price
iiwii	it is what it is
imtaw	it may take a while
iwaa	It was an accident
iwg	it was good
itz	it's
iag	it's all good
ijaf	it's just a fact
inbd	it's no big deal
inef	it's not even funny
inmp	it's not my problem
itzk	it's ok
sok	It's ok
iokiya	it's ok if you are
s'ok	it's okay
sokay	it's okay
uty	it's up to you
igahp	I've got a huge penis
igalboc	I've got a lovely bunch of cocnuts
igtg	i've got to go
qed	I've made my Point
irgtgbtw	I've really got to get back to work
j/o	jackoff
jb	jailbait
jyfihp	jam your finger in her pussy
jebus	Jesus
jfc	Jesus fucking Christ
bling-bling	jewelry
jtc	Join the club
jtfo	joke the fuck out
jks	jokes
jkz	jokes
jking	joking
jkn	joking
jooce	Juice
jfj	jump for joy
jst	just
jsut	just
jus	just
juss	just
juz	just
juzt	just
jas	just a second
jalaudlm	just as long as you don't leave me
j/a	Just Asking
jbu	just between us
jcam	just checking away message
j-c	just chilling
jcath	Just chilling at the house
j/c	just curious
jc	just curious
jeomk	Just ejaculated on my keyboard
jflts	just felt like typing something
jf	just fooling
j4f	just for fun
jff	just for fun
jfg	just for giggles
j4g	just for grins
j4l	just for laughs
jfl	just for laughs
jfn	just for now
jfr	Just for reference
jftr	just for the record
j4u	just for you
jfu	just for you
jfi	just forget it
jfo	just fuck off
jdfi	Just fucking do it
jfdi	Just Fucking Do It!
jfgi	just fucking google it
jfk	Just fucking kidding
jfwy	just fucking with you
jgtfooh	just get the fuck out of here
jg2h	just go to hell
jgiyn	Just google it you noob
jh	Just hanging
jho	just hanging out
jhm	just hold me
jic	just in case
jit	just in time
j/j	just joking
jj	just joking
jj/k	just joking
jja	just joking around
j/k	just kidding
jk	just kidding
jka	just kidding around
jklol	Just Kidding Laughing Out Loud
jkl	just kidding loser
jlma	just leave me alone
jlt	just like that
jms	just making sure
jm	Just Messing
jma	just messing around
jml	just my luck
jmo	just my opinion
jom	just one minuite
jooc	just out of curiosity
j/p	just playing
jp	just playing
j/s	just saying
js	just saying
jsing	just saying
jsuk	just so you know
jsun	Just so you know
jsyk	Just so you know
jsyn	just so you know
jsa	just stop already
j/t	just talking
jttsiowctw	just testing to see if other websites copy this word
jtay	just thinking about you
jtol	just thinking out loud
jtoi	just thought of it
jtumltk	just thought you might like to know
jtysk	just thought you should know
jtyltk	just thought you'd like to know
j2bs	just to be sure
jtbs	Just To Be Sure
j2luk	just to let you know
j2lyk	just to let you know
jtluk	just to let you know
jtlyk	just to let you know
jtty	just to tell you
j2c	just too cute
j2f	just too funny
jwas	just wait a second
jw2k	just wanted to know
jwtlyk	Just wanted to let you know
j/w	just wondering
jw	just wondering
kit	keep in touch
kic	keep it clean
kig	keep it going
kis	keep it simple
kiu	Keep it up
kots	keep on talking shit
kt	keep talking
kutgw	Keep Up The good Work
kyfc	keep your fingers crossed
kyko	keep your knickers on
kpc	keeping parents clueless
kfc	kentucky fried chicken
ka	Kick Ass
kaw	kick ass work
khitbash	kick her in the box and shove her
kmao	kick my ass off
kir	kid in room
kos	kid over shoulder
frag	kill
gank	kill
kafn	kill all fucking noobs
kiwf	Kill It With Fire
kmn	kill me now
kmp	kill me please
ks	kill steal
ktc	kill the cat
kys	kill yourself
fragged	killed
kiled	killed
kia	Killed In Action
kmsl	killing myself laughing
kmswl	killing myself with laughter
kb	KiloBite
kinda	kind of
kky	kinky
kss	kiss
mwah	kiss
snog	kiss
*4u	Kiss for you
kma	kiss my ass
kmag	kiss my ass goodbye
kmb	kiss my butt
kmfa	kiss my fucking ass
kmhba	kiss my hairy big ass
kol	kiss on lips
kotc	kiss on the cheek
kotl	kiss on the lips
kwtsds	Kiss where the sun don't shine
kyag	Kiss Your Ass Goodbye
kyfag	kiss your fucking ass goodbye
kssd	kissed
snogged	kissed
besos	kisses
kah	kisses and hugs
norwich	knickers off ready when I come home
kisa	knight in shining armor
kotor	Knights of the old republic
kitfo	knock it the fuck off
ko	knock out
ktfo	knocked the fuck out
kno	know
knw	know
noe	know
khuf	know how you feel
kwim	Know What I Mean
kwis	Know what I'm saying?
nowin	knowing
kkk	ku klux klan
lolngs	laghing out loud never gonna stop
lasb	Lame Ass Stupid Bitch
l4m3rz	lamers
lappy	Laptop
lpiaw	Large Penis is always welcome
lazer	laser
lazor	laser
lzer	laser
lifo	last in first out
ln	last name
lwn	last week's news
l8	late
l84skool	late for school
l8a	later
l8er	later
l8ers	Later
l8rz	later
l8s	later
l8t	later
l8ta	later
l8ter	later
l8tr	later
lata	later
lates	later
latr	Later
ltr	later
l8rs	laters
laff	laugh
lat	laugh at that
latn	laugh at the newbs
lau	laugh at you
lih	Laugh in head
limh	laugh in my head
liol	laugh insanely out loud
llf	laugh like fuck
lmaomtoaoa	Laugh my ass off many times over and over again
lmfbo	laugh my fucking butt off
lmmfas	laugh my mother fuckin ass off
lmvo	laugh my vagina off
lobfl	Laugh Out Bloody Fucking Loud
lofl	laugh out fucking loud
l0lz	laugh out loud
lolcano	laugh out loud
lolees	laugh out loud
lolerz	laugh out loud
lolocost	laugh out loud
lololz	laugh out loud
lolz	laugh out loud
lols	laugh out loud 
lollercoaster	laugh out loud (a lot)
lolaw	laugh out loud at work
lol@u	Laugh out loud at you
lolio	laugh out loud I own
lolm	laugh out loud man
lolq	laugh out loud quietly
lol2u	Laugh out loud to you
lorl	laugh out real loud
lorrl	laugh out really really loud
lqtm	Laugh quietly to myself
lshid	laugh so hard i die
ltmq	Laugh To Myself Quietly
lub	laugh under breath
lyao	laugh your ass off
lybo	laugh your butt off
lawl'd	laughed out loud
lawled	laughed out loud
lol'd	laughed out loud
lold	laughed out loud
lshismp	laughed so hard I shit my pants
lal	laughing a little
latwttb	laughing all the way to the bank
l@u	laughing at you
lbnr	laughing but not really
lbvs	laughing but very serious
lbo	laughing butt off 
lfnar	laughing for no aparent reason
lfr	Laughing for real
lhao	laughing her ass off
lirl	laughing in real life
liyf	laughing in your face
llab	Laughing like a bitch.
llc	laughing like crazy
lmty	laughing more than you
lmaowrotf	Laughing my ass of while rolling on the floor
lmao	laughing my ass off
lmaonade	laughing my ass off
lmaoxh	laughing my ass off extremely hard
lmaootf	Laughing my ass off on the floor 
lmaool	laughing my ass off out loud 
lmaorof	Laughing my Ass off Rolling on the floor
lmaorotf	laughing my ass off rolling on the floor
lmaowtntpm	laughing my ass off whilst trying not to piss myself
lmaol	laughing my ass out loud
lmbfwao	laughing my big fat white ass off
lmbao	laughing my black ass off
lmbo	laughing my butt off
lmcao	laughing my crazy ass off
lmclao	laughing my cute little ass off
lmfo	laughing my face off
lmfto	laughing my fuckin tits off
lmfao	laughing my fucking ass off
lmffo	Laughing my fucking face off
lmffao	laughing my fucking fat ass off
lmfho	laughing my fucking head off
lmfpo	laughing my fucking pussy off
lmgdao	Laughing My God Damn Ass Off
lmhao	laughing my hairy ass off
lmho	laughing my heiny off
lmmfao	laughing my mother fucking ass off
lmmfaos	laughing my mother fucking ass off silly
lmmffao	laughing my mother fucking fat ass off
lmoao	Laughing my Other Ass Off
lmpo	laughing my panties off
lmsao	laughing my sexy ass off
lmso	laughing my socks off
lmto	laughing my tits off
lof	Laughing on floor
lotf	laughing on the floor
loi	laughing on the inside
loti	laughing on the inside
kek	laughing out loud
lol	laughing out loud
lolin	laughing out loud
lollerskates	laughing out loud
loxen	laughing out loud
loxxen	laughing out loud
lolarotf	laughing out loud and rolling on the floor
lollam	Laughing Out Loud Like A Maniac
lolpimp	Laughing out loud peeing in my pants
lolrotf	laughing out loud rolling on the floor
lolrof	Laughing out loud while rolling on the floor.
lawls	laughing out loud with a southern drawl
lawlz	laughing out loud with a southern drawl
lolwtime	laughing out loud with tears in my eyes
lulz	Laughing out loud.
loomm	laughing out of my mind
lq	Laughing Quietly
lq2m	laughing quietly to myself
lqtms	Laughing quietly to myself
lqts	laughing quietly to self
lrfl	Laughing really fucking loud
lrh	laughing really hard
lrqtms	laughing really quietly to myself
lshipmp	Laughing so Hard I Piss My Pants
lshiwms	laughing so hard I wet myself
lshic	laughing so hard i'm crying
lshmson	laughing so hard milk shot out nose
lshrn	laughing so hard right now
lsmih	laughing so much it hurts
ltms	Laughing to my self
l2ms	laughing to myself
lttpot	laughing to the point of tears
lthtt	laughing too hard to type
steamloller	Laughing. Alot.
loln	laught out loud... not
ltip	laughting until I puke
lawl	lauging out loud with a southern drawl
ltp	Lay the pipe
loflmao	laying on floor laughing my ass off
ltw	Lead The Way
l2	learn to
l2p	learn to play
l2r	Learn to read
lam	leave a message
lma	leave me alone
lmamf	leave me alone mother fucker
lmap	leave me alone please
lmo	Leave Me One
lms	leave me some
lmtfa	leave me the fuck alone
legit	legitimate
lesbo	lesbian
lez	Lesbian
lezbean	lesbian
lezbo	lesbian
lezzzie	lesbian
lug	lesbian until graduation
lgb	lesbian/gay/bisexual
lsfw	Less Safe For Work
leme	let me
lemme	let me
lmgtfy	Let me Google that for you
lmg	let me guess
lmk	let me know
lmks	Let Me Know Soon
lmkwut	let me know what you think
lmtus	let me tell you something
lbh	let's be honest
lfl	let's fuck later
lgbnaf	lets get butt naked and fuck
lgot	let's go out tonight
lgs	let's go shopping!
lhs	lets have sex
lhsrn	let's have sex right now
lm4aq	Let's meet for a quickie.
lmfr	Lets Meet For Real
lmip	LETS MEET IN PERSON
lmirl	Let's meet in real life
lsudi	Lets see you do it
lvl	level
lmb	lick my balls
lmd	Lick My Dick
lmp	lick my pussy
lyf	life
lyfe	life
lpms	life pretty much sucks
leik	like
liek	like
lik	like
lk	like
lke	like
lyk	like
lyk3	like
lyke	like
lamf	like a motherfucker
lic	like i care
liec	like i even care
ligaff	like I give a flying fuck
ligafs	like I give a flying shit
ligas	like I give a shit
lim	Like it Matters
lomg	like oh my god
liekz	likes
lmtd	limited
lnk	Link
lgn	link goes nowhere
ltm	listen to me
l2m	listening to music
llol	literally laughing out loud
lil	little
lbr	little boy's room
lgr	little girls room
lgf	little green footballs
liv	live
larp	live action role-play
lj	live journal
llap	live long and prosper
lan	local area network
lt	long time
ltnc	Long time no see
ltns	long time no see
ltnt	long time no talk
ldr	Long-distance relationship
luk	look
liu	Look It Up
lwih	look what I have
lukin	looking
lf	looking for
lf2m	looking for 2 more
lfg	Looking for group
lfm	looking for mate
lf1m	Looking for one more
lfp	looking for pussy
ltb	looking to buy
lawd	lord
lotr	lord of the rings
lozer	loser
lsr	loser
luzar	Loser
lzr	loser
lalol	lots and lots of laughs
lolf	lots of love forever
<3	love
lov	love
luf	love
luff	Love
lurve	love
luv	love
luvv	love
lv	love
lve	Love
wub	love
wuv	love
lak	love and kisses
lafs	love at first sight
liita	love is in the air
lml	love my life
loml	love of my life
lomy	love of my life
ltywl	love the way you lie
lovu	love you
lvya	love you
ly	love you
lya	love you always
lyaab	Love you as a brother
lyaaf	Love you as a friend
lu4l	love you for life
lulab	Love you like a brother
lylab	love you like a brother
lylaba	love you like a brother always
lylad	love you like a dad
lylafklc	love you like a fat kid loves cake
lylam	love you like a mom
lulas	Love You Like a Sister
lylasa	love you like a sister always
lylno	Love you like no other
lul	love you lots
lyl	love you lots
lyls	love you lots
lymi	love you mean it
lysfm	love you so fucking much
lusm	love you so much
lysm	love you so much
ly2	love you to
lu2d	love you to death
lu2	love you too
lyt	love you too
luvuvm	love you very much
lyvm	love you very much
luver	lover
lvr	lover
lvn	loving
lcsnpc	low cost small notebook personal computer
lpb	low ping bastard
owned	made to look bad
ownt	made to look bad
pwn	made to look bad
pwned	made to look bad
msm	main stream media
miq	make it quick
mmd	make my day
p0wn	make to look bad
m.o	makeout
mml	making me laugh
mmw	making me wet
m4f	male for female
m4m	male for male
m/f	male or female
morf	male or female
msf	male seeking female
moobs	man boobs
mngmt	management
mngr	manager
myke	man-dyke
chronic	marijuana
reefer	marijuana
mflfs	married female looking for sex
mmlfs	married man looking for sex
mwf	Married White Female
marvy	marvelous
mmo	Massive Multiplayer Online
masterb8	masterbate
fapping	masterbating
fap	masturbate
mastrb8	masturbate.
wanker	masturbater
wanking	Masturbating
m8t	mate
mayte	mate
m84l	mate for life
m8s	mates
mtr	matter
mof	matter of fact
mtfbwu	may the force be with you
mtfbwy	May the Force be with you
m/b	maybe
mabby	maybe
mabe	Maybe
mayb	maybe
mbl8r	Maybe Later
mwsmirl	maybe we should meet in real life
mcds	mcdonalds
m3	me
meeh	me
msh	Me so horny
m2	me too
me2	me too
moh	Medal Of Honor
mohaa	Medal of Honor Allied Assult
mf2f4sx	meet face to face for sex
mirl	meet in real life
mmas	meet me after school
mmatc	meet me around the corner
mmamp	Meet me at my place
mmatp	meet me at the park
mml8r	meet me later
mmt	meet me there
mtg	Meeting
mlod	mega laugh out loud of doom
moss	member of same sex
motos	member of the opposite sex
mfg	merge from current
messg	message
msg	message
mssg	message
mmbocmb	message me back or comment me back
motd	message of the day
mrau	message received and understood
msgs	messages
msngr	messenger
grillz	metal teeth
mic	microphone
m$	Microsoft
mcse	Microsoft Certified Systems Engineer
msv	Microsoft Vista
m$wxp	Microsoft Windows XP
msie	microsoft's internet explorer
mlc	mid life crisis
mite	might
mph	miles per hour
myfb	mind your fucking business
myob	mind your own business
myodb	mind your own damn business
myofb	mind your own fucking business
m9	mine
myn	mine
min	minute
