a4ded	afforded
dcouplin	decoupling
dcoyin	decoying
dcreasd	decreased
dcreasin	decreasing
dcreein	decreeing
dcriminalisd	decriminalised
dcriminalisin	decriminalising
dcryin	decrying
dcsion	decision
dcsions	decisions
deactiv8d	deactivated
deactivatin	deactivating
deadenin	deadening
deafenin	deafening
dealin	dealing
debasd	debased
debasin	debasing
debatin	debating
debilitatin	debilitating
debitin	debiting
debriefin	debriefing
debuggd	debugged
debuggin	debugging
debunkd	debunked
debunkin	debunking
debutin	debuting
dec	december
decantin	decanting
decapitatin	decapitating
decodin	decoding
decomposed	decomposed
decomposin	decomposing
dedicatin	dedicating
deducd	deduced
deducin	deducing
deductd	deducted
deductin	deducting
deemd	deemed
deemin	deeming
deepend	deepened
deepenin	deepening
deepin	deeping
def	definitely
defacin	defacing
defamin	defaming
defaultin	defaulting
deicin	deicing
deifyin	deifying
deignin	deigning
delayd	delayed
delayin	delaying
deleg8d	delegated
delegatin	delegating
deliberatin	deliberating
delite	delight
delited	delighted
deliverd	delivered
deliverin	delivering
deludin	deluding
delugin	deluging
delvin	delving
demandin	demanding
demarcatin	demarcating
demo	demonstration
democratisin	democratising
demoing	demonstrating
demolishd	demolished
demolishin	demolishing
demonstr8d	demonstrated
demonstratin	demonstrating
demoralisd	demoralised
demoralisin	demoralising
demoralizd	demoralized
demoralizin	demoralizing
demos	demonstrations
demotin	demoting
demurrin	demurring
demystifyin	demystifying
denigratin	denigrating
dennin	denning
denotin	denoting
denouncin	denouncing
dentin	denting
denyin	denying
depersonalisin	depersonalising
depictd	depicted
depictin	depicting
depletd	depleted
depletin	depleting
deplord	deplored
deplorin	deploring
deployd	deployed
deployin	deploying
deportin	deporting
deposin	deposing
depositin	depositing
depravin	depraving
deprecatin	deprecating
depreciatin	depreciating
depressin	depressing
deprivin	depriving
deprssd	depressed
deprssn	depression
dept	department
depts	departments
deputisin	deputising
deputizin	deputizing
derailin	derailing
deregulatin	deregulating
deridin	deriding
derivin	deriving
descendin	descending
describin	describing
descrptn	description
desecratin	desecrating
desegregatin	desegregating
desensitisin	desensitising
desertin	deserting
deservd	deserved
deservin	deserving
design8d	designated
designatin	designating
designd	designed
designin	designing
desird	desired
desirin	desiring
desistd	desisted
desistin	desisting
deskillin	deskilling
desolatin	desolating
despairin	despairing
despatchin	despatching
despisin	despising
despoilin	despoiling
destabilisin	destabilising
destabilizin	destabilizing
destroyd	destroyed
destroyin	destroying
detachd	detached
detachin	detaching
detaild	detailed
detailin	detailing
detaind	detained
detainin	detaining
detectin	detecting
deterioratin	deteriorating
determinin	determining
deterrin	deterring
detonatin	detonating
detoxifyin	detoxifying
detractin	detracting
devaluin	devaluing
devastatin	devastating
deviatin	deviating
devisin	devising
devlopin	developing
devlp	develop
devlpd	developed
devlpr	developer
devlprs	developers
devolvin	devolving
devotin	devoting
devourin	devouring
dey	they
dfeatd	defeated
dfeatin	defeating
dfecatin	defecating
dfectin	defecting
dfendin	defending
dferrin	deferring
dffrnce	difference
dffrnces	differences
dfilin	defiling
dfined	defined
dfinin	defining
dfl8d	deflated
dflating	deflating
dflected	deflected
dflectin	deflecting
dflowerin	deflowering
dfraudin	defrauding
dfrostin	defrosting
dfusin	defusing
dfyin	defying
dgener8d	degenerated
dgeneratin	degenerating
dgraded	degraded
dgradin	degrading
dgtl	digital
dh	dear hubby
dhumanisin	dehumanising
dhumanizin	dehumanizing
dhydratin	dehydrating
di	die
diagnosin	diagnosing
diallin	dialling
dicin	dicing
dict8	dictate
dictatin	dictating
didnt	did not
didnt	did not
dietin	dieting
diferent	different
differentiatin	differentiating
differin	differing
diffractin	diffracting
diffusin	diffusing
digestin	digesting
diggin	digging
digitisin	digitising
digitizin	digitizing
dignifyin	dignifying
digressin	digressing
dilatin	dilating
dilutin	diluting
diminishin	diminishing
dimmin	dimming
dinin	dining
dinr	dinner
dippin	dipping
dir	directory
directin	directing
dirtyin	dirtying
disablin	disabling
disagreein	disagreeing
disappeard	disappeared
disappearin	disappearing
disappointd	disappointed
disappointin	disappointing
disapprovd	disapproved
disapprovin	disapproving
disarmd	disarmed
disarmin	disarming
disarrangin	disarranging
disassembld	disassembled
disassemblin	disassembling
disassoci8d	disassociated
disassociatin	disassociating
disavowin	disavowing
disbandin	disbanding
disbelievin	disbelieving
disbursin	disbursing
discardin	discarding
discernin	discerning
dischargin	discharging
disciplinin	disciplining
disclaimin	disclaiming
disclosin	disclosing
disconcertin	disconcerting
disconnectin	disconnecting
discontinuin	discontinuing
discountin	discounting
discouragin	discouraging
discoursin	discoursing
discoverin	discovering
discrditin	discrediting
discriminatin	discriminating
discus	discuss
discusd	discussed
discusin	discussing
disdainin	disdaining
disembarkin	disembarking
disenfranchisin	disenfranchising
disengagin	disengaging
disentanglin	disentangling
disestablishin	disestablishing
disfigurin	disfiguring
disgorgin	disgorging
disgracin	disgracing
disguisin	disguising
disgustin	disgusting
disheartenin	disheartening
dishin	dishing
disillusionin	disillusioning
disinfectin	disinfecting
disintegratin	disintegrating
dislikin	disliking
dislocatin	dislocating
dislodgin	dislodging
dismantlin	dismantling
dismayin	dismaying
dismemberin	dismembering
dismissin	dismissing
dismountin	dismounting
disobeyin	disobeying
disorientatin	disorientating
disorientin	disorienting
disownin	disowning
disparagin	disparaging
dispatchin	dispatching
dispellin	dispelling
dispensin	dispensing
dispersin	dispersing
dispiritin	dispiriting
displacin	displacing
displayin	displaying
displeasin	displeasing
disportin	disporting
disposin	disposing
disprovin	disproving
disputin	disputing
disqualifyin	disqualifying
disquietin	disquieting
disregardin	disregarding
disrobin	disrobing
disruptin	disrupting
dissectin	dissecting
dissemblin	dissembling
disseminatin	disseminating
dissentin	dissenting
dissipatin	dissipating
dissociatin	dissociating
dissolvd	dissolved
dissolvin	dissolving
distancin	distancing
distillin	distilling
distinuishin	distinguishing
distortin	distorting
distractin	distracting
distresin	distressing
distributin	distributing
distrustin	distrusting
disturbd	disturbed
disturbin	disturbing
disuadin	dissuading
ditchd	ditched
ditchin	ditching
ditherin	dithering
divergin	diverging
diversifyin	diversifying
divertin	diverting
divestin	divesting
dividin	dividing
divin	diving
divinin	divining
divorcd	divorced
divorcin	divorcing
divsn	division
divsns	divisions
divulgin	divulging
diy	do it yourself
dizzyin	dizzying
dk	don't know
dl	download
dlight	delight
dlightin	delighting
dlimitin	delimiting
dlineatin	delineating
dltin	deleting
dmand	demand
dmeanin	demeaning
dmn	damn
dnd	do not disturb
dngerous	dangerous
doc	document
dockin	docking
docs	documents
doctorin	doctoring
documentin	documenting
dodderin	doddering
dodgin	dodging
doffin	doffing
doggin	dogging
doin	doing
dominatin	dominating
domineerin	domineering
donatin	donating
donnin	donning
dont	do not
dont	don't
doodlin	doodling
doomin	dooming
dopin	doping
dorkin	dorking
dosin	dosing
dotin	doting
dottin	dotting
doublin	doubling
doubtin	doubting
douchin	douching
dousin	dousing
dowlin	dowling
downgradin	downgrading
downin	downing
downloadin	downloading
downplayin	downplaying
downsizin	downsizing
downswin	downswing
dowsin	dowsing
dozin	dozing
dpartd	departed
dpartin	departing
dpendin	depending
dpersonalizin	depersonalizing
draftin	drafting
draggin	dragging
drainin	draining
dramatisin	dramatising
drapin	draping
drawin	drawing
drawlin	drawling
drctr	director
dreadin	dreading
dreamin	dreaming
dredgin	dredging
drenchin	drenching
dressin	dressing
dressmakin	dressmaking
dribblin	dribbling
driftin	drifting
drillin	drilling
drinkin	drinking
drippin	dripping
drivellin	drivelling
drivin	driving
drizzlin	drizzling
dronin	droning
droolin	drooling
droopin	drooping
droppin	dropping
drownin	drowning
drubbin	drubbing
druggin	drugging
drumin	drumming
dryin	drying
dsallowd	disallowed
dsallowin	disallowing
dscrption	description
dscssn	discussion
dspite	despite
dtrmind	determined
dubbin	dubbing
duckin	ducking
ducklin	duckling
ductin	ducting
duellin	duelling
dullin	dulling
dumbfoundin	dumbfounding
dumpin	dumping
dumplin	dumpling
dun	done
dunkin	dunking
dunnin	dunning
dupin	duping
duplicatin	duplicating
durin	during
dustin	dusting
duz	does
dv8	deviate
dvice	device
dvlpmnt	development
dwarfin	dwarfing
dwellin	dwelling
dwindlin	dwindling
dwn	down
dwntwn	downtown
dy	day
dyein	dyeing
dyin	dying
ealin	ealing
earmarkd	earmarked
earmarkin	earmarking
earnd	earned
earnin	earning
earrin	earring
earthlin	earthling
easd	eased
easin	easing
eastrn	eastern
easygoin	easygoing
eatin	eating
eavesdroppd	eavesdropped
eavesdroppin	eavesdropping
ebbd	ebbed
ebbin	ebbing
echod	echoed
echoin	echoing
eclipsd	eclipsed
eclipsin	eclipsing
economisd	economised
economisin	economising
economizd	economized
economizin	economizing
eddyin	eddying
edgin	edging
edifyin	edifying
editin	editing
ednbrgh	edinburgh
edu	education
educ8	educate
educ8d	educated
educatin	educating
effacin	effacing
effectin	effecting
effin	effing
eft	electronic funds transfer
eg	for example
eggin	egging
ejacul8d	ejaculated
ejaculatin	ejaculating
ejectd	ejected
ejectin	ejecting
ekin	eking
elabor8	elaborate
elabor8d	elaborated
elabor8in	elaborating
elapsd	elapsed
elapsin	elapsing
elbowd	elbowed
elbowin	elbowing
electd	elected
electin	electing
electioneerin	electioneering
electrifyin	electrifying
electrocutd	electrocuted
electrocutin	electrocuting
electroplatin	electroplating
elev8d	elevated
elevatin	elevating
elicitd	elicited
elicitin	eliciting
elidin	eliding
elimin8	eliminate
elimin8d	eliminated
elimin8in	eliminating
elong8d	elongated
elongatin	elongating
elopd	eloped
elopin	eloping
els	else
elucid8d	elucidated
elucidatin	elucidating
eludin	eluding
email	e-mail
emailin	e-mailing
eman8	emanate
eman8d	emanated
emanatin	emanating
emancip8d	emancipated
emancipatin	emancipating
emascul8d	emasculated
emasculatin	emasculating
embalmd	embalmed
embalmin	embalming
embarkd	embarked
embarkin	embarking
embarrasd	embarrassed
embarrassin	embarrassing
embeddin	embedding
embellishd	embellished
embellishin	embellishing
embezzld	embezzled
embezzlin	embezzling
embitterd	embittered
embitterin	embittering
embodyin	embodying
emboldend	emboldened
emboldenin	emboldening
embossd	embossed
embossin	embossing
embracd	embraced
embracin	embracing
embroiderd	embroidered
embroiderin	embroidering
embroild	embroiled
embroilin	embroiling
emergd	emerged
emergin	emerging
emigr8d	emigrated
emigratin	emigrating
emittd	emitted
emittin	emitting
empathisin	empathising
emfasisd	emphasised
emfasisin	emphasising
emfasizd	emphasized
emfasizin	emphasizing
employd	employed
employin	employing
empowerd	empowered
empowerin	empowering
emptyd	emptied
emptyin	emptying
emul8d	emulated
emulatin	emulating
en4cin	enforcing
enabld	enabled
enablin	enabling
enactd	enacted
enactin	enacting
encapsul8d	encapsulated
encapsulatin	encapsulating
encasd	encased
encasin	encasing
enchantd	enchanted
enchantin	enchanting
encirclin	encircling
enclosin	enclosing
encodin	encoding
encompassin	encompassing
encounterin	encountering
encouragin	encouraging
encroachin	encroaching
encryptin	encrypting
encumberin	encumbering
endangerin	endangering
endearin	endearing
endeavourin	endeavouring
endin	ending
endorsin	endorsing
endowin	endowing
endurin	enduring
energisin	energising
enervatin	enervating
enfranchisin	enfranchising
eng	english
engagin	engaging
engenderin	engendering
engineerin	engineering
engnrng	engineering
engravin	engraving
engrossin	engrossing
engulfin	engulfing
enhancin	enhancing
enjoinin	enjoining
enjoyin	enjoying
enlargin	enlarging
enlightenin	enlightening
enlistin	enlisting
enlivend	enlivened
enlivenin	enlivening
ennobld	ennobled
ennoblin	ennobling
enquird	enquired
enquirin	enquiring
enragd	enraged
enragin	enraging
enrichd	enriched
enrichin	enriching
enrolld	enrolled
enrollin	enrolling
enshrinin	enshrining
enslavd	enslaved
enslavin	enslaving
ensnard	ensnared
ensnarin	ensnaring
ensuin	ensuing
ensurd	ensured
ensurin	ensuring
entaild	entailed
entailin	entailing
entangld	entangled
entanglin	entangling
enterd	entered
enterin	entering
enterprisin	enterprising
entertaind	entertained
entertainin	entertaining
enthrallin	enthralling
enthusin	enthusing
enticin	enticing
entitlin	entitling
entrappin	entrapping
entreatin	entreating
entrenchin	entrenching
entrustin	entrusting
entwinin	entwining
enuf	enough
enumeratin	enumerating
enunciatin	enunciating
envelopin	enveloping
envisagin	envisaging
envrnment	environment
envyin	envying
eppin	epping
equalisin	equalising
equalizin	equalizing
equallin	equalling
equatin	equating
equippin	equipping
equivocatin	equivocating
eradicatin	eradicating
erasin	erasing
erectin	erecting
erlier	earlier
erly	early
erodin	eroding
errin	erring
eruptin	erupting
escalatin	escalating
escapd	escaped
escapin	escaping
eschewin	eschewing
escortin	escorting
espcially	especially
espousin	espousing
espyin	espying
establishin	establishing
estimatin	estimating
etchin	etching
eu	european union
eulogisin	eulogising
eulogizin	eulogizing
eurp	europe
evacuatin	evacuating
evadin	evading
evaluatin	evaluating
evangelizin	evangelizing
evaporatin	evaporating
evend	evened
evenin	evening
eventin	eventing
everchangin	ever-changing
everlastin	everlasting
everythin	everything
evictd	evicted
evictin	evicting
evn	even
evokd	evoked
evokin	evoking
evolvd	evolved
evolvin	evolving
evr	ever
evry	every
evry1	everyone
evrybdy	everybody
evrytin	everything
ewin	ewing
exam	examination
excusd	excused
exec	executive
exprmnt	experiment
exprmnts	experiments
eyein	eyeing
ezy	easy
f2f	face to face
f2t	free to talk
fabric8d	fabricated
fabricatin	fabricating
fabrik8d	fabricated
facilit8d	facilitated
facilit8d	facilitated
facilitatin	facilitating
facin	facing
factord	factored
factord	factored
factorin	factoring
factorisd	factorised
factorisd	factorised
factorisin	factorising
factorizd	factorized
factorizd	factorized
factorizin	factorizing
fadin	fading
faild	failed
failin	failing
faintd	fainted
faintd	fainted
faintin	fainting
fakin	faking
fallin	falling
falsifyin	falsifying
falterd	faltered
falterd	faltered
falterin	faltering
familiarisd	familiarised
familiarisd	familiarised
familiarisin	familiarising
fancyin	fancying
fand	fanned
fannd	fanned
fannin	fanning
fantasisd	fantasised
fantasisd	fantasised
fantasisin	fantasising
fantasizd	fantasized
fantasizd	fantasized
fantasizin	fantasizing
faq	frequently asked questions
farin	faring
farmd	farmed
farmd	farmed
farmin	farming
farthin	farthing
fascin8d	fascinated
fascinatin	fascinating
fashiond	fashioned
fashionin	fashioning
fasin	phasing
fasin8d	fascinated
fastd	fasted
fastend	fastened
fastenin	fastening
fastin	fasting
fastnd	fastened
fatherd	fathered
fatherin	fathering
fathomd	fathomed
fathomd	fathomed
fathomin	fathoming
fathrd	fathered
fatigd	fatigued
fatiguin	fatiguing
fatnd	fattened
fattend	fattened
fattenin	fattening
faultd	faulted
faultin	faulting
fave	favourite
favord	favoured
favourin	favouring
fawnd	fawned
fawnin	fawning
faxd	faxed
faxin	faxing
fbm	fine by me
fcbk	facebook
fctr	factor
fctrs	factors
feard	feared
fearin	fearing
feastd	feasted
feastin	feasting
feated	featured
featherbeddin	featherbedding
featherd	feathered
featherin	feathering
featurin	featuring
feb	february
feedin	feeding
feelin	feeling
feeln	feeling
feignin	feigning
feintin	feinting
fellin	felling
fencin	fencing
fendin	fending
feretd	ferreted
fermentin	fermenting
ferretin	ferreting
ferryin	ferrying
fertilisd	fertilised
fertilisin	fertilising
fertilizd	fertilized
fertilizin	fertilizing
feryd	ferried
festerd	festered
festerin	festering
festoonin	festooning
fetchd	fetched
fetchin	fetching
feuded	feuded
feudin	feuding
fghtin	fighting
fibbin	fibbing
fiddlin	fiddling
fidgetd	fidgeted
fidgetin	fidgeting
fidld	fiddled
fieldin	fielding
figurin	figuring
filanderin	philandering
fild	filled
filin	filing
filld	filled
filld	filled
fillin	filling
filmd	filmed
filmd	filmed
filmin	filming
filmmakin	filmmaking
filosofisin	philosophising
filosofizin	philosophizing
filterd	filtered
filterin	filtering
finalisd	finalised
finalisin	finalising
finalizd	finalized
finalizin	finalizing
financd	financed
financin	financing
findin	finding
fingerin	fingering
fingerprinting	fingerprinting
fining	fining
finishin	finishing
finishing	finishing
finshd	finished
firebombing	firebombing
firing	firing
firmd	firmed
firming	firming
fishing	fishing
fitd	fitted
fitting	fitting
fixd	fixed
fixing	fixing
fizd	fizzed
fizld	fizzled
fizzing	fizzing
fizzling	fizzling
flagd	flagged
flagging	flagging
flaild	flailed
flailing	flailing
flakd	flaked
flaking	flaking
flaming	flaming
flankd	flanked
flankd	flanked
flanking	flanking
flapd	flapped
flappd	flapped
flapping	flapping
flared	flared
flaring	flaring
flashd	flashed
flashing	flashing
flatend	flattened
flaterd	flattered
flattening	flattening
flattering	flattering
flauntd	flaunted
flaunting	flaunting
flavourd	flavoured
flavouring	flavouring
flayd	flayed
flaying	flaying
fledgling	fledgling
fleecing	fleecing
fleeing	fleeing
fleeting	fleeting
fleming	fleming
fleshd	fleshed
fleshing	fleshing
flexd	flexed
flexing	flexing
flickd	flicked
flickering	flickering
flicking	flicking
flikd	flicked
flikrd	flickered
flinchd	flinched
flinching	flinching
fling	fling
flinging	flinging
flipd	flipped
flipping	flipping
flirting	flirting
flitd	flitted
flitting	flitting
fllw	follow
fllwin	following
fllwn	following
fllwrs	followers
floating	floating
flockd	flocked
flocking	flocking
flogd	flogged
floggd	flogged
flogging	flogging
flokd	flocked
flooding	flooding
floodlighting	floodlighting
floord	floored
flooring	flooring
flopd	flopped
flopping	flopping
florishd	flourished
flotd	floated
flouncd	flounced
flouncing	flouncing
floundering	floundering
floundrd	floundered
flourishing	flourishing
floutd	flouted
flouting	flouting
flowering	flowering
flowing	flowing
flowrd	flowered
flrtd	flirted
fluctu8d	fluctuated
fluctuating	fluctuating
flufd	fluffed
fluffing	fluffing
flunkd	flunked
flunking	flunking
flushd	flushed
flushing	flushing
fluting	fluting
flutrd	fluttered
fluttering	fluttering
flying	flying
fmly	family
fnancd	financed
fnd	find
fndtn	foundation
fnshd	finished
foald	foaled
foaling	foaling
foaming	foaming
focusd	focused
focusin	focusing
fogd	fogged
fogin	fogging
foild	foiled
foilin	foiling
foistd	foisted
foistin	foisting
foldd	folded
foldin	folding
follwd	followed
fomed	foamed
fomentd	fomented
fomenting	fomenting
fondld	fondled
fondling	fondling
fone	phone
fonin	phoning
foold	fooled
foold	fooled
fooling	fooling
footballing	footballing
footd	footed
footing	footing
fosilisd	fossilised
fosilizd	fossilized
fossilising	fossilising
fossilizing	fossilizing
fostering	fostering
fostrd	fostered
foto	photo
fotocopyin	photocopying
fotofinishin	photofinishing
fotoing	photographing
fotoshopin	photoshopping
fouled	fouled
fouling	fouling
foundd	founded
foundering	foundering
founding	founding
foundling	foundling
foundrd	foundered
fracturd	fractured
fracturing	fracturing
fragmenting	fragmenting
fragmntd	fragmented
framd	framed
framing	framing
franchisd	franchised
franchising	franchising
franking	franking
frasin	phrasing
fraternising	fraternising
fraternizing	fraternizing
frayd	frayed
fraying	fraying
freakd	freaked
freaking	freaking
freeing	freeing
freelancing	freelancing
freestanding	freestanding
freewheeling	freewheeling
freezing	freezing
frequentd	frequented
frequenting	frequenting
freshend	freshened
freshening	freshening
freshnd	freshened
fretd	fretted
frettd	fretted
fretting	fretting
fri	Friday
frigging	frigging
frightend	frightened
frightening	frightening
fringing	fringing
friskd	frisked
friskd	frisked
frisking	frisking
friterd	frittered
fritterd	frittered
frittering	frittering
frm	from
frmentd	fermented
frnd	friend
frnds	friends
frolickd	frolicked
frolicking	frolicking
frolikd	frolicked
frontd	fronted
frontd	fronted
fronting	fronting
frostd	frosted
frostd	frosted
frosting	frosting
frothd	frothed
frothd	frothed
frothing	frothing
frownd	frowned
frownd	frowned
frowning	frowning
fruiting	fruiting
frustr8d	frustrated
frustr8d	frustrated
frustrating	frustrating
fryd	fried
frying	frying
frytend	frightened
fst	fast
ftac	fantasy
ftbl	football
fudgd	fudged
fudged	fudged
fudging	fudging
fueld	fuelled
fuelld	fuelled
fuelling	fuelling
fulfild	fulfilled
fulfilld	fulfilled
fulfillin	fulfilling
fulminatin	fulminating
fumbld	fumbled
fumbled	fumbled
fumblin	fumbling
fumd	fumed
fumed	fumed
fumig8td	fumigated
fumigatd	fumigated
fumigatin	fumigating
fumin	fuming
functiond	functioned
functiond	functioned
functionin	functioning
fundd	funded
fundholdin	fundholding
fundin	funding
fundraisin	fundraising
fune	funny
funneld	funnelled
funneld	funnelled
funnellin	funnelling
furld	furled
furld	furled
furlin	furling
furloughd	furloughed
furloughd	furloughed
furloughin	furloughing
furnishd	furnished
furnishd	furnished
furnishin	furnishing
furrd	furred
furrin	furring
furtherd	furthered
furtherd	furthered
furtherin	furthering
fusd	fused
fusin	fusing
fussd	fussed
fussd	fussed
fussin	fussing
futr	future
fyi	for your information
fwd	forward
g2g	got to go
g8crashin	gatecrashing
ga	go ahead
gabblin	gabbling
gagd	gagged
gaggin	gagging
gaind	gained
gainin	gaining
gainsayin	gainsaying
galivantd	gallivanted
galld	galled
gallin	galling
gallivanti	gallivanting
gallopd	galloped
gallopin	galloping
galvanisd	galvanised
galvanisin	galvanising
galvanizd	galvanized
galvanizin	galvanizing
gambld	gambled
gambling	gambling
gambollin	gambolling
gamin	gaming
gangd	ganged
gangin	ganging
ganglin	gangling
gaped	gaped
gapin	gaping
gardenin	gardening
gargld	gargled
garglin	gargling
garnerd	garnered
garnerin	garnering
garnishd	garnished
garnishin	garnishing
garrottin	garrotting
gasd	gassed
gashd	gashed
gashin	gashing
gaspd	gasped
gaspin	gasping
gassin	gassing
gatherd	gathered
gatherin	gathering
gauged	gauged
gaugin	gauging
gawkin	gawking
gazd	gazed
gazin	gazing
gazumpin	gazumping
gdi	god damn it
geard	geared
gearin	gearing
geldin	gelding
generalisin	generalising
generalizin	generalizing
generatin	generating
gentrifyin	gentrifying
gesticul8d	gesticulated
gesticulatin	gesticulating
gesturd	gestured
gesturin	gesturing
gettin	getting
gettin	getting
gf	girlfriend
gfi	go for it
gg	good game
ggle	google
ghosti	ghosting
gibberin	gibbering
giberd	gibbered
gigglin	giggling
gigled	giggled
gildd	gilded
gildin	gilding
gimme	give me
girdd	girded
girdin	girding
girdld	girdled
girdlin	girdling
giv	give
givin	giving
givn	given
givs	gives
gj	good job
gl	good luck
gla	glasgow
gladdenin	gladdening
gladend	gladdened
glancin	glancing
glansd	glanced
glared	glared
glarin	glaring
glazd	glazed
glazin	glazing
glbl	global
gleamd	gleamed
gleamin	gleaming
gleand	gleaned
gleanin	gleaning
glided	glided
glidin	gliding
glimerd	glimmered
glimerin	glimmering
glimpsd	glimpsed
glimpsin	glimpsing
glintd	glinted
glintin	glinting
glistenin	glistening
glistnd	glistened
gliterd	glittered
glitterin	glittering
gloamin	gloaming
gloatd	gloated
gloating	gloating
glorifyin	glorifying
gloryin	glorying
glosd	glossed
glossin	glossing
glowd	glowed
glowerin	glowering
glowin	glowing
glued	glued
gluin	gluing
gm	good move
gnawd	gnawed
gnawin	gnawing
gnight	goodnight
gnr8	generate
gnr8d	generated
gnr8n	generation
gnrlisd	generalised
gnrlizd	generalized
goaded	goaded
goadin	goading
goalkeepin	goalkeeping
gobblin	gobbling
gobld	gobbled
godalmin	godalming
goerin	goering
gogglin	goggling
gogled	goggled
goin	going
goin	going
goldin	golding
golfin	golfing
gona	gonna
goodin	gooding
googled	googled
googlin	googling
gorged	gorged
gorgin	gorging
gosipd	gossiped
goslin	gosling
gossipin	gossiping
gostd	ghosted
gota	gotta
gouged	gouged
gougin	gouging
gouldin	goulding
gov	government
governin	governing
govrnd	governed
gowi	get on with it
gr&d	grand
gr8	great
gr8d	grated
gr8ful	grateful
grabbin	grabbing
grabd	grabbed
graced	graced
gracin	gracing
gradin	grading
gradu8d	graduated
graduatin	graduating
graftd	grafted
graftin	grafting
grandfatherd	grandfathered
grandfatherin	grandfathering
grandstandin	grandstanding
grantd	granted
grantin	granting
grapled	grappled
grapplin	grappling
graspd	grasped
graspin	grasping
gratifyin	gratifying
gratin	grating
gravit8d	gravitated
gravitatin	gravitating
graylin	grayling
grazd	grazed
grazin	grazing
greasd	greased
greasin	greasing
greenin	greening
greetd	greeted
greetin	greeting
greyin	greying
grievd	grieved
grievin	grieving
grilld	grilled
grillin	grilling
grimacin	grimacing
grimasd	grimaced
grindin	grinding
grinnd	grinned
grinnin	grinning
gripd	gripped
griped	griped
gripin	griping
grippin	gripping
grittd	gritted
grittin	gritting
grl	girl
groand	groaned
groanin	groaning
groomd	groomed
groomin	grooming
gropd	groped
gropin	groping
grossd	grossed
grossin	grossing
groundbreakin	groundbreaking
groundd	grounded
groundin	grounding
grousd	groused
grousin	grousing
groutin	grouting
grovelled	grovelled
grovellin	grovelling
growin	growing
growlin	growling
grubbin	grubbing
grubd	grubbed
grudgin	grudging
gruellin	gruelling
grumbld	grumbled
grumblin	grumbling
gruntd	grunted
gruntin	grunting
grup	group
grupd	grouped
grupin	grouping
gt	good try
guaranteein	guaranteeing
guardin	guarding
gud	good
gudlukin	good-looking
gues	guess
guesin	guessing
guestin	guesting
guidin	guiding
guillotinin	guillotining
gulpin	gulping
gummin	gumming
gunnin	gunning
gurglin	gurgling
gushin	gushing
gustin	gusting
gutterin	guttering
guttin	gutting
guzzlin	guzzling
gyratin	gyrating
gys	guys
h8	hate
hackin	hacking
hadnt	had not
haemorrhagin	haemorrhaging
hagglin	haggling
hailin	hailing
hairdressin	hairdressing
hallucinatin	hallucinating
haltin	halting
halvin	halving
hammerin	hammering
hamperin	hampering
hamrd	hammered
hamstrin	hamstring
handcuffin	handcuffing
handholdin	handholding
handicappin	handicapping
handin	handing
handlin	handling
handwritin	handwriting
hangin	hanging
hankerin	hankering
hapi	happy
hapnd	happened
happenin	happening
haranguin	haranguing
harassin	harassing
harbourin	harbouring
hardenin	hardening
hardin	harding
hardworkin	hardworking
harin	haring
harkin	harking
harmin	harming
harmonisin	harmonising
harmonizin	harmonizing
harnessin	harnessing
harpin	harping
harrowin	harrowing
harryin	harrying
harvestin	harvesting
hashin	hashing
hasnt	has not
hasslin	hassling
hastenin	hastening
hatchin	hatching
hatin	hating
haulin	hauling
hauntin	haunting
hav	have
havent	have not
haverin	havering
havin	having
havin	having
havnt	haven't
hawkin	hawking
hayin	haying
hazardin	hazarding
hazin	hazing
headhuntin	headhunting
headin	heading
headlinin	headlining
healin	healing
heapin	heaping
hearin	hearing
hearin	hearing
hearkenin	hearkening
heartbreakin	heartbreaking
heartenin	heartening
heatin	heating
heavin	heaving
hecklin	heckling
hectorin	hectoring
hed	head
hedgin	hedging
heedin	heeding
heftin	hefting
heightenin	heightening
hel	hell
he'll	he will
helpin	helping
hemmin	hemming
hennin	henning
heraldin	heralding
herd	heard
herdin	herding
herrin	herring
hesitatin	hesitating
hewin	hewing
hf	have fun
hibernatin	hibernating
hidin	hiding
highlightin	highlighting
hijackin	hijacking
hikin	hiking
hinderin	hindering
hinin	hinging
hintin	hinting
hirin	hiring
hissin	hissing
hitchhikin	hitchhiking
hitchin	hitching
hittin	hitting
hivin	hiving
hlf	half
hlp	help
hme	home
hmslf	himself
hnd	hand
hndhld	handheld
hndst	handset
hoardin	hoarding
hoaxin	hoaxing
hobblin	hobbling
hobnobbin	hobnobbing
hockin	hocking
hoein	hoeing
hoggin	hogging
hoistin	hoisting
holdin	holding
holdin	holding
holidayin	holidaying
holin	holing
hollerin	hollering
homecomin	homecoming
homesteadin	homesteading
homin	homing
homogenisin	homogenising
homogenizin	homogenizing
honin	honing
honkin	honking
honourin	honouring
hoodwinkin	hoodwinking
hookin	hooking
hootin	hooting
hopin	hoping
hoppin	hopping
horrifyin	horrifying
horsin	horsing
hosin	hosing
hostin	hosting
houndin	hounding
housebreakin	housebreaking
housebuildin	housebuilding
housecleanin	housecleaning
housekeepin	housekeeping
housemovin	housemoving
housin	housing
housin	housing
hoverin	hovering
howlin	howling
hpe	hope
hpn	happen
hpnd	happened
hpnin	happening
hr	hour
hrd	hard
hrdwr	hardware
hre	here
hrs	hours
hrslf	herself
hstry	history
ht	hi there
huddlin	huddling
huffin	huffing
huggin	hugging
hulkin	hulking
